Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,Sale_Year,Sale_Month,Sale_MonthName,Sale_YearMonth,price_per_room,price_per_landsize,property_age,age_bracket,price_to_area_ratio,cumulative_revenue_pct,pareto_80
Abbotsford,85 Turner St,2,h,1480000,S,Biggin,03-12-2016,2.5,3067,2,1,1,202,96,1900,Yarra,-37.7996,144.9984,Northern Metropolitan,4019,2016,12,Dec,2016-12,740000,7326.73,117,Pre-1917,10142.71,74.916,TRUE
Abbotsford,25 Bloomburg St,2,h,1035000,S,Biggin,04-02-2016,2.5,3067,2,1,0,156,79,1900,Yarra,-37.8079,144.9934,Northern Metropolitan,4019,2016,2,Feb,2016-02,517500,6634.62,117,Pre-1917,10142.71,74.916,TRUE
Abbotsford,5 Charles St,3,h,1465000,SP,Biggin,04-03-2017,2.5,3067,3,2,0,134,150,1900,Yarra,-37.8093,144.9944,Northern Metropolitan,4019,2017,3,Mar,2017-03,488333.33,10932.84,117,Pre-1917,10142.71,74.916,TRUE
Abbotsford,40 Federation La,3,h,850000,PI,Biggin,04-03-2017,2.5,3067,3,2,1,94,130,1900,Yarra,-37.7969,144.9969,Northern Metropolitan,4019,2017,3,Mar,2017-03,283333.33,9042.55,117,Pre-1917,10142.71,74.916,TRUE
Abbotsford,55a Park St,4,h,1600000,VB,Nelson,04-06-2016,2.5,3067,3,1,2,120,142,2014,Yarra,-37.8072,144.9941,Northern Metropolitan,4019,2016,6,Jun,2016-06,400000,13333.33,3,Post-1997,10142.71,74.916,TRUE
Abbotsford,129 Charles St,2,h,941000,S,Jellis,07-05-2016,2.5,3067,2,1,0,181,96,1900,Yarra,-37.8041,144.9953,Northern Metropolitan,4019,2016,5,May,2016-05,470500,5198.9,117,Pre-1917,10142.71,74.916,TRUE
Abbotsford,124 Yarra St,3,h,1876000,S,Nelson,07-05-2016,2.5,3067,4,2,0,245,210,1910,Yarra,-37.8024,144.9993,Northern Metropolitan,4019,2016,5,May,2016-05,625333.33,7657.14,107,Pre-1917,10142.71,74.916,TRUE
Abbotsford,98 Charles St,2,h,1636000,S,Nelson,08-10-2016,2.5,3067,2,1,2,256,107,1890,Yarra,-37.806,144.9954,Northern Metropolitan,4019,2016,10,Oct,2016-10,818000,6390.62,127,Pre-1917,10142.71,74.916,TRUE
Abbotsford,6/241 Nicholson St,1,u,300000,S,Biggin,08-10-2016,2.5,3067,1,1,1,0,49,2009,Yarra,-37.8008,144.9973,Northern Metropolitan,4019,2016,10,Oct,2016-10,300000,,8,Post-1997,10142.71,74.916,TRUE
Abbotsford,10 Valiant St,2,h,1097000,S,Biggin,08-10-2016,2.5,3067,3,1,2,220,75,1900,Yarra,-37.801,144.9989,Northern Metropolitan,4019,2016,10,Oct,2016-10,548500,4986.36,117,Pre-1917,10142.71,74.916,TRUE
Abbotsford,411/8 Grosvenor St,2,u,700000,VB,Jellis,12-11-2016,2.5,3067,2,2,1,0,76,2009,Yarra,-37.811,145.0067,Northern Metropolitan,4019,2016,11,Nov,2016-11,350000,,8,Post-1997,10142.71,74.916,TRUE
Abbotsford,40 Nicholson St,3,h,1350000,VB,Nelson,12-11-2016,2.5,3067,3,2,2,214,190,2005,Yarra,-37.8085,144.9964,Northern Metropolitan,4019,2016,11,Nov,2016-11,450000,6308.41,12,Post-1997,10142.71,74.916,TRUE
Abbotsford,123/56 Nicholson St,2,u,750000,S,Biggin,12-11-2016,2.5,3067,2,2,1,0,94,2009,Yarra,-37.8078,144.9965,Northern Metropolitan,4019,2016,11,Nov,2016-11,375000,,8,Post-1997,10142.71,74.916,TRUE
Abbotsford,45 William St,2,h,1172500,S,Biggin,13-08-2016,2.5,3067,2,1,1,195,96,1900,Yarra,-37.8084,144.9973,Northern Metropolitan,4019,2016,8,Aug,2016-08,586250,6012.82,117,Pre-1917,10142.71,74.916,TRUE
Abbotsford,7/20 Abbotsford St,1,u,441000,SP,Greg,14-05-2016,2.5,3067,1,1,1,0,49,2009,Yarra,-37.8016,144.9988,Northern Metropolitan,4019,2016,5,May,2016-05,441000,,8,Post-1997,10142.71,74.916,TRUE
Abbotsford,16 William St,2,h,1310000,S,Jellis,15-10-2016,2.5,3067,2,1,2,238,97,1890,Yarra,-37.809,144.9976,Northern Metropolitan,4019,2016,10,Oct,2016-10,655000,5504.2,127,Pre-1917,10142.71,74.916,TRUE
Abbotsford,42 Henry St,3,h,1200000,S,Jellis,16-07-2016,2.5,3067,3,2,1,113,110,1880,Yarra,-37.8056,144.993,Northern Metropolitan,4019,2016,7,Jul,2016-07,400000,10619.47,137,Pre-1917,10142.71,74.916,TRUE
Abbotsford,78 Yarra St,3,h,1176500,S,LITTLE,16-07-2016,2.5,3067,2,1,1,138,105,1890,Yarra,-37.8021,144.9965,Northern Metropolitan,4019,2016,7,Jul,2016-07,392166.67,8525.36,127,Pre-1917,10142.71,74.916,TRUE
Abbotsford,196 Nicholson St,3,h,955000,S,Collins,17-09-2016,2.5,3067,3,1,0,183,130,1900,Yarra,-37.8022,144.9975,Northern Metropolitan,4019,2016,9,Sep,2016-09,318333.33,5218.58,117,Pre-1917,10142.71,74.916,TRUE
Abbotsford,42 Valiant St,2,h,890000,S,Biggin,17-09-2016,2.5,3067,2,1,1,150,73,1985,Yarra,-37.8011,145.0004,Northern Metropolitan,4019,2016,9,Sep,2016-09,445000,5933.33,32,1977–1997,10142.71,74.916,TRUE
Abbotsford,3/72 Charles St,4,h,1330000,PI,Kay,18-03-2017,2.5,3067,4,2,2,780,135,1900,Yarra,-37.8073,144.9952,Northern Metropolitan,4019,2017,3,Mar,2017-03,332500,1705.13,117,Pre-1917,10142.71,74.916,TRUE
Abbotsford,13/11 Nicholson St,3,t,900000,S,Beller,18-03-2017,2.5,3067,3,2,2,0,135,2010,Yarra,-37.8093,144.9959,Northern Metropolitan,4019,2017,3,Mar,2017-03,300000,,7,Post-1997,10142.71,74.916,TRUE
Abbotsford,138/56 Nicholson St,3,u,1090000,S,Jellis,18-03-2017,2.5,3067,3,2,2,2978,35,2009,Yarra,-37.8078,144.9965,Northern Metropolitan,4019,2017,3,Mar,2017-03,363333.33,366.02,8,Post-1997,10142.71,74.916,TRUE
Abbotsford,6/219 Nicholson St,2,u,500000,S,Collins,18-06-2016,2.5,3067,2,1,1,0,60,1970,Yarra,-37.8015,144.9972,Northern Metropolitan,4019,2016,6,Jun,2016-06,250000,,47,1947–1977,10142.71,74.916,TRUE
Abbotsford,52a William St,2,h,1100000,PI,Biggin,18-06-2016,2.5,3067,2,2,1,124,135,2013,Yarra,-37.8079,144.9977,Northern Metropolitan,4019,2016,6,Jun,2016-06,550000,8870.97,4,Post-1997,10142.71,74.916,TRUE
Abbotsford,49 Park St,2,h,1315000,S,Marshall,19-11-2016,2.5,3067,2,1,0,147,85,1900,Yarra,-37.808,144.994,Northern Metropolitan,4019,2016,11,Nov,2016-11,657500,8945.58,117,Pre-1917,10142.71,74.916,TRUE
Abbotsford,5/20 Abbotsford St,1,u,426000,SP,Greg,22-08-2016,2.5,3067,1,1,1,0,49,2009,Yarra,-37.8016,144.9988,Northern Metropolitan,4019,2016,8,Aug,2016-08,426000,,8,Post-1997,10142.71,74.916,TRUE
Abbotsford,48 Abbotsford St,3,h,1447500,PI,Nelson,22-08-2016,2.5,3067,3,3,1,166,174,2012,Yarra,-37.8017,145.0001,Northern Metropolitan,4019,2016,8,Aug,2016-08,482500,8719.88,5,Post-1997,10142.71,74.916,TRUE
Abbotsford,116/56 Nicholson St,1,u,457000,S,Jellis,22-08-2016,2.5,3067,1,1,1,0,50,2009,Yarra,-37.8078,144.9965,Northern Metropolitan,4019,2016,8,Aug,2016-08,457000,,8,Post-1997,10142.71,74.916,TRUE
Abbotsford,159 Park St,2,h,1135000,S,Nelson,22-08-2016,2.5,3067,2,2,2,98,128,1920,Yarra,-37.8005,144.9952,Northern Metropolitan,4019,2016,8,Aug,2016-08,567500,11581.63,97,1917–1947,10142.71,74.916,TRUE
Abbotsford,31 Turner St,4,h,1542000,S,Collins,24-09-2016,2.5,3067,4,3,1,0,190,1900,Yarra,-37.7994,144.9965,Northern Metropolitan,4019,2016,9,Sep,2016-09,385500,,117,Pre-1917,10142.71,74.916,TRUE
Abbotsford,166 Gipps St,3,h,1290000,S,Biggin,25-02-2017,2.5,3067,3,2,2,147,35,1900,Yarra,-37.805,144.9943,Northern Metropolitan,4019,2017,2,Feb,2017-02,430000,8775.51,117,Pre-1917,10142.71,74.916,TRUE
Abbotsford,60 Stafford St,3,h,1290000,S,Biggin,25-02-2017,2.5,3067,3,1,1,168,124,1950,Yarra,-37.8007,144.9958,Northern Metropolitan,4019,2017,2,Feb,2017-02,430000,7678.57,67,1947–1977,10142.71,74.916,TRUE
Abbotsford,11/205 Gipps St,1,u,470000,S,Nelson,26-07-2016,2.5,3067,1,1,1,0,50,2013,Yarra,-37.8055,144.9961,Northern Metropolitan,4019,2016,7,Jul,2016-07,470000,,4,Post-1997,10142.71,74.916,TRUE
Abbotsford,47 Studley St,2,h,1180000,S,Jellis,27-11-2016,2.5,3067,2,1,0,162,91,1900,Yarra,-37.8016,144.9956,Northern Metropolitan,4019,2016,11,Nov,2016-11,590000,7283.95,117,Pre-1917,10142.71,74.916,TRUE
Abbotsford,45 Yarra St,3,h,1195000,SP,Jellis,27-11-2016,2.5,3067,3,2,1,120,128,1998,Yarra,-37.8022,144.9954,Northern Metropolitan,4019,2016,11,Nov,2016-11,398333.33,9958.33,19,Post-1997,10142.71,74.916,TRUE
Abbotsford,200 Nicholson St,2,h,1012500,S,Nelson,28-05-2016,2.5,3067,2,1,0,182,82,1900,Yarra,-37.8021,144.9976,Northern Metropolitan,4019,2016,5,May,2016-05,506250,5563.19,117,Pre-1917,10142.71,74.916,TRUE
Abbotsford,27 Charles St,2,h,1030000,S,Biggin,30-07-2016,2.5,3067,2,1,1,172,81,1930,Yarra,-37.8086,144.9946,Northern Metropolitan,4019,2016,7,Jul,2016-07,515000,5988.37,87,1917–1947,10142.71,74.916,TRUE
Airport West,154 Halsey Rd,3,t,840000,PI,Nelson,03-09-2016,13.5,3042,3,2,1,303,225,2016,Moonee Valley,-37.718,144.878,Western Metropolitan,3464,2016,9,Sep,2016-09,280000,2772.28,1,Post-1997,5589.19,80.195,FALSE
Airport West,50 Bedford St,3,h,730000,VB,Nelson,03-12-2016,13.5,3042,3,2,1,0,145,1965,Moonee Valley,-37.7203,144.8755,Western Metropolitan,3464,2016,12,Dec,2016-12,243333.33,,52,1947–1977,5589.19,80.195,FALSE
Airport West,50 Bedford St,3,h,770000,SP,Nelson,04-03-2017,13.5,3042,3,2,1,0,145,1965,Moonee Valley,-37.7203,144.8755,Western Metropolitan,3464,2017,3,Mar,2017-03,256666.67,,52,1947–1977,5589.19,80.195,FALSE
Airport West,23 Hart St,2,h,603000,S,Nelson,04-03-2017,13.5,3042,2,1,1,272,84,1950,Moonee Valley,-37.7294,144.888,Western Metropolitan,3464,2017,3,Mar,2017-03,301500,2216.91,67,1947–1977,5589.19,80.195,FALSE
Airport West,1/80 Hawker St,3,t,700000,S,Brad,04-03-2017,13.5,3042,3,2,2,239,134,2009,Moonee Valley,-37.7218,144.8837,Western Metropolitan,3464,2017,3,Mar,2017-03,233333.33,2928.87,8,Post-1997,5589.19,80.195,FALSE
Airport West,1/37 Hillside Gr,3,h,600000,S,Maddison,04-03-2017,13.5,3042,2,1,1,290,116,1980,Moonee Valley,-37.7273,144.8744,Western Metropolitan,3464,2017,3,Mar,2017-03,200000,2068.97,37,1977–1997,5589.19,80.195,FALSE
Airport West,2/49 McIntosh St,2,u,500000,VB,Barry,04-03-2017,13.5,3042,2,1,1,168,86,2011,Moonee Valley,-37.7215,144.8864,Western Metropolitan,3464,2017,3,Mar,2017-03,250000,2976.19,6,Post-1997,5589.19,80.195,FALSE
Airport West,54 Marshall Rd,3,h,720000,S,Barry,06-08-2016,13.5,3042,2,1,1,620,130,1965,Moonee Valley,-37.7173,144.8872,Western Metropolitan,3464,2016,8,Aug,2016-08,240000,1161.29,52,1947–1977,5589.19,80.195,FALSE
Airport West,36 Roberts Rd,4,h,785000,S,Considine,06-08-2016,13.5,3042,3,1,2,597,127,1965,Moonee Valley,-37.7259,144.8792,Western Metropolitan,3464,2016,8,Aug,2016-08,196250,1314.91,52,1947–1977,5589.19,80.195,FALSE
Airport West,11 Harrington Rd,6,h,725000,SP,Barry,07-05-2016,13.5,3042,6,3,2,976,186,1980,Moonee Valley,-37.7239,144.8735,Western Metropolitan,3464,2016,5,May,2016-05,120833.33,742.83,37,1977–1997,5589.19,80.195,FALSE
Airport West,2/252 Parer Rd,2,t,450000,S,Barry,07-05-2016,13.5,3042,2,1,1,110,90,2015,Moonee Valley,-37.7216,144.871,Western Metropolitan,3464,2016,5,May,2016-05,225000,4090.91,2,Post-1997,5589.19,80.195,FALSE
Airport West,3/19 Hart St,2,u,515000,S,Barry,07-11-2016,13.5,3042,2,1,1,141,73,2013,Moonee Valley,-37.7298,144.8883,Western Metropolitan,3464,2016,11,Nov,2016-11,257500,3652.48,4,Post-1997,5589.19,80.195,FALSE
Airport West,2/62 Clydesdale Rd,2,u,530000,S,Nelson,10-09-2016,13.5,3042,2,1,1,120,94,2012,Moonee Valley,-37.7234,144.8792,Western Metropolitan,3464,2016,9,Sep,2016-09,265000,4416.67,5,Post-1997,5589.19,80.195,FALSE
Airport West,3 Deidre Ct,3,h,895000,PI,Rendina,10-09-2016,13.5,3042,3,1,6,1063,133,1975,Moonee Valley,-37.7249,144.8728,Western Metropolitan,3464,2016,9,Sep,2016-09,298333.33,841.96,42,1947–1977,5589.19,80.195,FALSE
Airport West,13 Etzel St,3,h,805000,S,Nelson,10-12-2016,13.5,3042,3,1,1,0,105,1950,Moonee Valley,-37.7217,144.8783,Western Metropolitan,3464,2016,12,Dec,2016-12,268333.33,,67,1947–1977,5589.19,80.195,FALSE
