Suburb,avg_price,median_price,avg_building_area,total_revenue,transaction_count,avg_price_per_room,avg_landsize,price_to_area_ratio,revenue_pct,cumulative_revenue_pct,pareto_80
Brighton,1870824.6666666667,1773500.0,159.58393655913977,347973388.0,186,588640.2615053763,402.63978494623655,11723.14,2.4,2.4,True
Glen Iris,1619171.7948717948,1660000.0,157.37692307692308,315738500.0,195,503376.83743589744,527.6820512820512,10288.5,2.178,4.578,True
Balwyn North,1787557.3099415204,1739000.0,181.60233918128654,305672300.0,171,496119.701871345,678.6374269005848,9843.25,2.108,6.686,True
Kew,1684790.9604519773,1528500.0,157.09920903954804,298208000.0,177,515700.1210734463,479.66101694915255,10724.38,2.057,8.743,True
Richmond,1083679.8076923077,1078000.0,100.97846153846154,281756750.0,260,449917.6281538462,366.34615384615387,10731.79,1.943,10.686,True
Bentleigh East,1085591.9196787148,1085000.0,147.75345381526105,270312388.0,249,351293.02702811244,479.578313253012,7347.32,1.864,12.55,True
Reservoir,690911.4206128133,685000.0,124.77334261838439,248037200.0,359,252444.59164345404,472.51532033426184,5537.33,1.711,14.261,True
Northcote,1266647.6063829786,1255000.0,126.86170212765957,238129750.0,188,450617.68632978725,341.6808510638298,9984.48,1.642,15.903,True
Essendon,1065981.8181818181,1000000.0,134.41363636363636,234516000.0,220,366180.3411818182,396.8090909090909,7930.61,1.617,17.52,True
Hawthorn,1211994.7643979057,815000.0,108.64832460732985,231491000.0,191,474123.9090575916,424.9476439790576,11155.21,1.597,19.117,True
Camberwell,1708743.9393939395,1695000.0,154.17042727272727,225554200.0,132,523642.55053030304,544.1136363636364,11083.47,1.556,20.673,True
Brunswick,1014243.2432432432,952500.0,118.17454954954955,225162000.0,222,389857.54504504503,301.6936936936937,8582.59,1.553,22.226,True
Brighton East,1567730.4347826086,1590000.0,171.20065217391303,216346800.0,138,472195.6522463768,531.8695652173913,9157.27,1.492,23.718,True
Hampton,1661600.0,1612500.0,158.31153846153848,216008000.0,130,527800.5769230769,541.0538461538462,10495.76,1.49,25.208,True
Preston,903010.0418410042,910000.0,129.7379079497908,215819400.0,239,323126.45945606695,459.3347280334728,6960.26,1.488,26.696,True
South Yarra,1008224.2574257426,802000.0,87.42079207920793,203661300.0,202,478265.55287128716,305.8267326732673,11533.0,1.405,28.101,True
Balwyn,1844990.6542056075,1850000.0,185.79682242990654,197414000.0,107,543773.2087850467,546.2990654205607,9930.15,1.362,29.463,True
Surrey Hills,1573208.0,1650000.0,166.19224,196651000.0,125,470248.46672,536.912,9466.19,1.356,30.819,True
Port Melbourne,1229614.3790849673,1150000.0,111.35620915032679,188131000.0,153,508211.8735947712,331.94117647058823,11042.17,1.297,32.116,True
Malvern East,1551847.4957264957,1500000.0,154.56820512820514,181566157.0,117,486862.1586324787,456.5128205128205,10039.89,1.252,33.368,True
Hawthorn East,1511694.43697479,1465000.0,134.890756302521,179891638.0,119,513731.6723529412,469.00840336134456,11206.81,1.241,34.609,True
Bentleigh,1279500.0,1286000.0,161.97122302158274,177850500.0,139,394052.6723741007,480.24460431654677,7899.55,1.227,35.836,True
Coburg,923619.8736842105,901000.0,131.984,175487776.0,190,321880.98952631577,375.7736842105263,6997.97,1.21,37.046,True
Moonee Ponds,1121776.5100671141,1130000.0,139.21275167785237,167144700.0,149,388017.5055704698,351.8859060402685,8058.0,1.153,38.199,True
Yarraville,988615.512195122,953000.0,126.5240243902439,162132944.0,164,348115.83530487807,322.0060975609756,7813.66,1.118,39.317,True
Doncaster,1260880.1724137932,1292500.0,172.67672413793105,146262100.0,116,357771.8534482759,584.1810344827586,7301.97,1.009,40.326,True
